,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NHP2,39.34755405114723,0.30606871487526677,0.08374258881278318,3.9073327004272405,9.332061467453621e-05,0.0008240397030175391
HNRNPAB,20.886361772917382,0.21216961756567942,0.11491112324412193,2.11480618959752,0.03444646912737704,0.11422797471276179
PHYKPL,22.814678738342575,-0.04288217799348442,0.08864078527864463,-0.5015410651769773,0.6159903846004599,0.8280924033658125
COL23A1,0.07919551987254163,0.007746713819845601,0.37844018055409245,0.08081686214184446,0.9355875978844173,
CLK4,6.654660697675311,-0.24852152965401944,0.1065702044787249,-2.4808254575681,0.013107854063035442,0.05341826560645369
ZNF354A,2.8565650484485134,0.44338174155705967,0.143242427981272,3.3419997302108184,0.0008317714156652848,0.005410483362965595
ZNF354B,1.3850963588804939,0.13426806473699668,0.16178336865477974,1.0087675079408207,0.31308614722262895,0.5562962037472483
ZFP2,0.11743893742922921,-0.002865229536180234,0.31810219603954315,-0.030284922468581978,0.9758398211851388,
ZNF879,0.6075042788885869,-0.01897602327112041,0.19866801555481087,-0.09024702178328031,0.9280909187665893,0.9819875208759807
ZNF354C,0.5753502967299987,-0.643771025097178,0.24428128453506548,-2.6643047868005336,0.007714762867227391,0.0345220227749533
ADAMTS2,0.015585251431547334,0.0011354590893778277,0.39709906942564843,0.024460142449256757,0.9804855759127666,
RUFY1,23.459932728808226,-0.12322886487283409,0.234801336137062,2.4015926249510025,0.01632387585678912,0.06328326846397933
RP11-1379J22.2,0.004312553274920075,0.003030099433137154,0.40867396179175736,0.026398097665684454,0.9789398114653416,
HNRNPH1,40.736470287208796,-0.48729759359504016,0.07492023366419778,-6.720913760261046,1.805884588938055e-11,6.23115770130972e-10
RP11-1379J22.5,0.13452103707860225,0.18112259708817596,0.38487325022508423,0.707033794254496,0.479545476934754,
CBY3,0.010966920530011469,-0.02855311043970306,0.33332695909700616,-0.02805711687928284,0.9776165963692002,
CANX,44.748940560920694,0.13129849989340583,0.12528699806226787,1.2377242537817164,0.21581832283917124,0.43731291384096477
MAML1,4.298439540625403,-0.19935497330406254,0.0950847644704807,-2.2326416050333484,0.025572588146153513,0.09079796537335803
LTC4S,1.652683293293356,0.1900992356906453,0.2761136230587498,1.130594210329029,0.2582259254747279,0.49350672015192454
MGAT4B,5.531062903926779,-0.20785732026831438,0.23641820576407158,-1.3510536786497536,0.1766782382338431,0.38078919877486517
SQSTM1,157.81069581426956,-1.0254952641672663,0.1569922942315221,-6.950560645261799,3.6383734795812085e-12,1.451461814689917e-10
C5orf45,4.09452335160815,-0.12693830296359182,0.15061430649162588,-1.0113550302926662,0.31184653629014036,0.5549061975951037
CTC-241N9.1,0.35328285859820946,0.42357220247202576,0.30101846481765915,1.5857429853341316,0.11279762387391655,0.2769256788447309
TBC1D9B,9.208126022796872,-0.30523483393860884,0.11431031642068193,-2.942465960453241,0.00325609580536278,0.017165825858757217
