ligand_complex,receptor_complex,source,target,resources,n_resources,mean_lrscore,max_lrscore,min_lrscore
C5,C5AR1,Mast cells,Tcm/Naive cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Mast cells,Tcm/Naive helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Mast cells,Tem/Effector helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Mast cells,Tem/Temra cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Mast cells,Tem/Trm cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Mast cells,pDC,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,CD16+ NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,DC2,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,Late erythroid,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,MAIT cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,Megakaryocyte precursor,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,Megakaryocytes/platelets,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,Memory B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,Naive B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,Plasma cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,Regulatory T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,Tcm/Naive cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,Tcm/Naive helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,Tem/Effector helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,Tem/Temra cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,Tem/Trm cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocyte precursor,pDC,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,CD16+ NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,DC2,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,Late erythroid,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,MAIT cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,Megakaryocyte precursor,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,Megakaryocytes/platelets,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Megakaryocytes/platelets,Memory B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
